"Alice in Wonderland";"Alice is a very curious young lady and when a rabbit runs by, clock in hand... One must see what the fuss is all about."
"The Little Mermaid";"In the enormous depths of the ocean, life is too restricted for young Ariel and so she dreams of the shores above."
"The Jungle Book";"Deep in the jungle there's a boy like no other. Raised by wolfs and now cared for by a bear and panther, where will the river of life take him?"
"Frankenstein";"Lightning struct in the tempestuos and cold night. Within the tower's walls silent reigned and warmth filled the body on the table."
"Sherlock Holmes";"Genius detective solves mysteries alongside his partner."
"Game of Thrones";"A kingdom torn, factions fighting for power. Who will win this high stakes game?"
"Maias";"A boy brought up by his grandfather struggles with the chaos of his past trying to find his path in life. Love is a dangerous endeavour."
"Ready Player One";"In the future humanity finds solace in a virtual world of infinite possibilities. A young man, living his life, quickly finds himself the front runner of a dangerous game."
"Alladin";"After the sultan orders his daughter to marry a man, she escapes the palace. Finds love in the arms of a adventurer,a man with a pet monkey and a powerfull wish-granting lamp."
"Cinderella";"When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger."
"Hansel and Gretel";"The siblings Hansel and Gretel are left alone in the woods by their father and captured by a dark witch in a candy house."
"Snow White";"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household."
"Jack and the beanstalk";"The history of a young boy that trades his family cow for some magical beans."
